time,x,y,z
0.0,100.0,100.0,100.0
0.1,99.5,101.0,100.0
0.2,99.0,102.0,100.0
0.30000000000000004,98.5,103.0,100.0
0.4,98.0,104.0,100.0
0.5,97.5,105.0,100.0
0.6000000000000001,97.0,106.0,100.0
0.7000000000000001,96.5,107.0,100.0
0.8,96.0,108.0,100.0
0.9,95.5,109.0,100.0
1.0,95.0,110.0,100.0
1.1,94.5,111.0,100.0
1.2000000000000002,94.0,112.0,100.0
1.3,93.5,113.0,100.0
1.4000000000000001,93.0,114.0,100.0
1.5,92.5,115.0,100.0
1.6,92.0,116.0,100.0
1.7000000000000002,91.5,117.0,100.0
1.8,91.0,118.0,100.0
1.9000000000000001,90.5,119.0,100.0
2.0,90.0,120.0,100.0
2.1,89.5,121.0,100.0
2.2,89.0,122.0,100.0
2.3000000000000003,88.5,123.0,100.0
2.4000000000000004,88.0,124.0,100.0
2.5,87.5,125.0,100.0
2.6,87.0,126.0,100.0
2.7,86.5,127.0,100.0
2.8000000000000003,86.0,128.0,100.0
2.9000000000000004,85.5,129.0,100.0
3.0,85.0,130.0,100.0
3.1,84.5,131.0,100.0
3.2,84.0,132.0,100.0
3.3000000000000003,83.5,133.0,100.0
3.4000000000000004,83.0,134.0,100.0
3.5,82.5,135.0,100.0
3.6,82.0,136.0,100.0
3.7,81.5,137.0,100.0
3.8000000000000003,81.0,138.0,100.0
3.9000000000000004,80.5,139.0,100.0
4.0,80.0,140.0,100.0
4.1000000000000005,79.5,141.0,100.0
4.2,79.0,142.0,100.0
4.3,78.5,143.0,100.0
4.4,78.0,144.0,100.0
4.5,77.5,145.0,100.0
4.6000000000000005,77.0,146.0,100.0
4.7,76.5,147.0,100.0
4.800000000000001,76.0,148.0,100.0
4.9,75.5,149.0,100.0
5.0,75.0,150.0,100.0
5.1000000000000005,74.5,151.0,100.0
5.2,74.0,152.0,100.0
5.300000000000001,73.5,153.0,100.0
5.4,73.0,154.0,100.0
5.5,72.5,155.0,100.0
5.6000000000000005,72.0,156.0,100.0
5.7,71.5,157.0,100.0
5.800000000000001,71.0,158.0,100.0
5.9,70.5,159.0,100.0
6.0,70.0,160.0,100.0
6.1000000000000005,69.5,161.0,100.0
6.2,69.0,162.0,100.0
6.300000000000001,68.5,163.0,100.0
6.4,68.0,164.0,100.0
6.5,67.5,165.0,100.0
6.6000000000000005,67.0,166.0,100.0
6.7,66.5,167.0,100.0
6.800000000000001,66.0,168.0,100.0
6.9,65.5,169.0,100.0
7.0,65.0,170.0,100.0
7.1000000000000005,64.5,171.0,100.0
7.2,64.0,172.0,100.0
7.300000000000001,63.5,173.0,100.0
7.4,63.0,174.0,100.0
7.5,62.5,175.0,100.0
7.6000000000000005,62.0,176.0,100.0
7.7,61.5,177.0,100.0
7.800000000000001,61.0,178.0,100.0
7.9,60.5,179.0,100.0
8.0,60.0,180.0,100.0
8.1,59.5,181.0,100.0
8.200000000000001,58.99999999999999,182.0,100.0
8.3,58.5,183.0,100.0
8.4,58.0,184.0,100.0
8.5,57.5,185.0,100.0
8.6,57.0,186.0,100.0
8.700000000000001,56.49999999999999,187.0,100.0
8.8,56.0,188.0,100.0
8.9,55.5,189.0,100.0
9.0,55.0,190.0,100.0
9.1,54.5,191.0,100.0
9.200000000000001,53.99999999999999,192.0,100.0
9.3,53.5,193.0,100.0
9.4,53.0,194.0,100.0
9.5,52.5,195.0,100.0
9.600000000000001,51.99999999999999,196.0,100.0
9.700000000000001,51.49999999999999,197.0,100.0
9.8,51.0,198.0,100.0
9.9,50.5,199.0,100.0
10.0,50.0,200.0,100.0
